amp-ave,amp-sd,phase-ave,phase-sd,group
21.99,5.147,-0.139,0.121,2
17.33,4.005,2.206,0.13,2
19.846,5.69,2.03,0.185,2
19.322,5.876,1.531,0.179,2
19.69,6.442,-0.37,0.217,2
20.485,6.488,-1.992,0.234,2
16.611,4.886,1.701,0.161,2
21.434,5.6,-1.173,0.148,2
21.319,5.884,-0.637,0.173,2
21.33,5.372,2.649,0.145,2
20.296,4.971,2.507,0.182,2
21.637,4.964,-1.341,0.155,2
16.987,4.136,2.317,0.175,2
20.009,4.869,2.175,0.187,2
20.552,5.009,-2.2,0.152,2
20.92,5.368,1.834,0.145,2
21.211,5.247,-2.089,0.165,2
21.362,4.723,-2.947,0.152,2
21.852,5.022,-2.126,0.152,2
22.179,5.532,-0.044,0.165,2
17.785,4.956,-0.926,0.202,2
20.563,5.48,-2.035,0.198,2
21.762,6.238,2.456,0.246,2
19.508,5.872,-0.782,0.218,2
20.205,6.685,0.753,0.291,2
17.64,5.698,2.317,0.297,2
18.536,6.294,0.287,0.266,2
20.947,7.005,1.129,2.654,2
18.068,7.121,-0.386,0.297,2
19.124,5.492,1.955,0.197,2
20.881,4.428,2.414,0.142,2
19.127,4.032,2.794,0.122,2
19.254,4.372,0.872,0.106,2
21.551,5.019,1.315,0.11,2
19.568,4.575,-0.91,0.15,2
19.237,5.491,1.05,0.134,2
19.005,5.743,1.262,0.166,2
17.674,4.632,-2.277,0.129,2
20.208,5.705,-0.339,0.136,2
20.828,4.555,1.17,2.795,2
19.735,4.623,0.759,0.154,2
18.123,4.689,0.599,0.149,2
18.731,4.906,1.306,2.763,2
17.235,4.612,-2.508,0.092,2
18.901,5.11,0.27,0.125,2
17.435,4.283,0.088,0.131,2
18.856,4.471,-1.865,0.129,2
18.876,4.439,2.814,0.12,2
20.291,4.756,2.067,0.168,2
17.423,5.007,1.296,0.196,2
17.349,4.867,1.968,0.176,2
17.185,4.462,0.242,0.111,2
19.265,5.321,-2.891,0.164,2
18.586,5.839,2.49,0.197,2
15.915,5.867,2.452,1.379,2
17.538,6.073,2.615,0.173,2
18.874,6.705,-1.165,0.185,2
20.202,6.795,-2.256,0.254,2
18.524,6.757,-1.776,0.288,2
18.861,7.193,0.138,0.346,2
19.269,7.593,0.428,0.357,2
19.047,6.683,-0.93,0.336,2
19.645,6.229,-1.302,0.242,2
20.728,6.446,-2.165,0.253,2
19.825,5.753,-2.314,0.226,2
18.386,5.459,0.491,0.236,2
21.61,5.94,-2.003,0.21,2
18.906,5.148,-0.58,0.224,2
18.734,5.186,1.58,0.248,2
21.351,4.784,-1.477,0.176,2
18.284,4.376,0.004,0.198,2
19.753,4.08,2.394,0.185,2
19.925,4.049,-1.769,0.17,2
18.419,3.94,1.67,0.184,2
21.097,4.139,1.765,0.163,2
19.165,3.596,-1.24,0.172,2
18.066,4.079,0.356,0.187,2
20.267,4.216,2.478,0.194,2
19.315,3.835,-0.278,0.159,2
19.715,3.865,2.323,0.159,2
16.847,4.249,-1.089,0.139,2
18.589,4.897,-0.184,0.151,2
16.514,4.275,1.428,0.138,2
18.225,4.54,-0.399,0.158,2
15.921,4.144,-0.057,0.175,2
18.434,4.788,0.944,0.184,2
17.19,4.44,1.376,0.239,2
19.469,5.196,-1.502,0.176,2
18.697,5.077,-0.239,0.181,2
19.341,4.945,-0.961,0.209,2
18.572,4.644,1.234,0.207,2
19.166,4.356,1.229,0.205,2
18.854,3.84,1.086,0.144,2
19.548,3.591,2.247,0.145,2
16.94,3.227,0.229,0.153,2
16.821,3.29,0.876,0.155,2
16.426,3.795,1.54,0.181,2
16.994,4.521,-0.139,0.152,2
18.407,4.261,0.33,3.03,2
15.839,3.863,1.624,0.167,2
21.921,4.391,0.607,3.008,2
16.549,3.338,-0.1,0.11,2
19.473,3.673,-1.654,0.146,2
20.877,4.046,-0.018,0.131,2
17.915,3.866,0.827,0.148,2
16.839,3.618,-0.925,0.145,2
18.51,4.209,-0.186,0.154,2
18.779,4.067,-0.12,0.164,2
17.396,3.54,-0.354,0.206,2
17.646,3.375,-0.663,0.153,2
16.823,3.09,-2.351,0.148,2
20.152,3.889,-1.495,0.175,2
16.559,3.442,0.707,0.198,2
18.917,2.794,2.404,0.132,2
16.619,2.479,2.422,1.602,2
18.679,2.731,-2.077,0.175,2
19.063,3.333,2.063,0.159,2
20.299,3.492,-2.099,0.173,2
20.345,3.881,-1.294,0.215,2
18.328,3.583,2.319,0.178,2
20.56,4.248,-2.703,0.161,2
19.504,4.224,2.235,1.94,2
17.356,3.669,-1.442,2.665,2
16.179,3.933,0.52,0.19,2
18.733,4.797,1.638,0.18,2
18.846,4.98,-1.088,0.161,2
20.511,5.608,0.098,0.181,2
16.759,4.746,-2.157,0.186,2
18.456,4.557,0.564,0.148,2
19.368,4.433,-2.247,0.158,2
17.182,3.811,2.439,0.116,2
20.461,5.213,0.247,0.169,2
